Lord Willin',Logic,The Incredible True Story
White Iverson,Post Malone,White Iverson
What They Want,Russ,What They Want
Miss Alissa,Eagles Of Death Metal,Peace Love Death Metal
Super Mario World,Logic,Bobby Tarantino
Full Circle,Quinn XCII,Full Circle
One Dance,"Drake, WizKid, Kyla",One Dance
Forbidden Voices - Original Mix,Martin Garrix,Forbidden Voices
Pull the Trigger,Russ,Pull the Trigger
Rio,"Netsky, Digital Farm Animals",Rio
Devil's Whisper,Raury,All We Need
Fade Away,Logic,The Incredible True Story
For A Better Day,Avicii,Pure Grinding For A Better Day
Yung God,Russ,Yung God
Go Flex,Post Malone,Go Flex
Lost,Frank Ocean,channel ORANGE
Headlines,Drake,Headlines
Stay,"Kygo, Maty Noyes",Cloud Nine
What's Hatnin',"Justin Bieber, Future",Journals
Wherever I Go,OneRepublic,Wherever I Go
Buried Alive,Logic,Under Pressure (Deluxe)
Champions,"Kanye West, Gucci Mane, Big Sean, 2 Chainz, Travis Scott, Yo Gotti, Quavo, Desiigner",Champions
For Free,"DJ Khaled, Drake",For Free
Flexicution,Logic,Flexicution
Don't Look Down,"Martin Garrix, Usher",Don't Look Down
Legend,Drake,If You're Reading This It's Too Late
Love Lockdown,Kanye West,808s & Heartbreak
Schemin Up (feat. Drake and P. Reign),"OB OBrien, Drake, P Reign",Schemin Up (feat. Drake and P. Reign)
Can't Remember to Forget You,"Shakira, Rihanna",Shakira.
Never Been,Logic,The Incredible True Story
Woke The F*ck Up,Jon Bellion,Woke The F*ck Up
Now That I've Found You (feat. John & Michel),"Martin Garrix, John & Michel",Now That I've Found You (feat. John & Michel)
tous les m��mes,Stromae,Racine Carr�e (Standard US Version)
Fragile,"Kygo, Labrinth",Cloud Nine
Pop Style,"Drake, The Throne",Pop Style
Ultralight Beam,Kanye West,The Life Of Pablo
Uber Everywhere,Madeintyo,Uber Everywhere
Runnin',The Pharcyde,Labcabincalifornia (Deluxe Edition)
Papaoutai,Stromae,Racine Carr�e (Standard US Version)
Nothing Left,"Kygo, Will Heard",Cloud Nine
Here Comes The Sun - Remastered,The Beatles,Abbey Road (Remastered)
Too Many,Russ,Too Many
All Time Low,Jon Bellion,All Time Low
Remember The Name (feat. Styles Of Beyond),"Fort Minor, Styles Of Beyond",The Rising Tied
Do You Remember,Jarryd James,Do You Remember
Don't You Worry Child (Radio Edit) [feat. John Martin],"Swedish House Mafia, John Martin",Don't You Worry Child (feat. John Martin)
Give Me Something,Jarryd James,Give Me Something
Waka Waka (This Time for Africa) (The Official 2010 FIFA World Cup (TM) Song),"Shakira, Freshlyground",Waka Waka (This Time for Africa) (The Official 2010 FIFA World Cup (TM) Song)
Sex & Super Smash Bros.,Kyle,Beautiful Loser
Confident,"Justin Bieber, Chance The Rapper",Journals
"i hate u, i love u (feat. olivia o'brien)","gnash, Olivia O'Brien",us
Paradise,Ryan Caraveo,Swings
Embracing Me,SAFIA,Embracing Me
Diamonds - Remix,"Rihanna, Kanye West",Diamonds (Remix)
Uber,Cliff Savage,Uber
Get Lucky,"Daft Punk, Pharrell Williams, Nile Rodgers",Random Access Memories
Real Friends,Kanye West,The Life Of Pablo
Hands On The Wheel,"ScHoolboy Q, A$AP Rocky",Hands On The Wheel
No Money,Galantis,No Money
White Tiger - Single Version,Izzy Bizu,White Tiger
Summer Sixteen,Drake,Summer Sixteen
We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song],"Pitbull, Jennifer Lopez, Claudia Leitte",Globalization
Another Day in Paradise,Quinn XCII,Change of Scenery
No Role Modelz,J. Cole,2014 Forest Hills Drive
The Only Way Is Up,"Martin Garrix, Ti�sto","Club Life, Vol. 4 - New York City"
Starships,Nicki Minaj,Pink Friday ... Roman Reloaded (Deluxe)
i,Kendrick Lamar,i
Amazing,"Kanye West, Jeezy",808s & Heartbreak
Jimmy Recard,Drapht,Brothers Grimm
Let Me Know,Grenda,Untouchable Skin
3005,Childish Gambino,Because The Internet
Never Be Like You (feat. Kai),"Flume, kai",Never Be Like You (feat. Kai)
Take Care,"Drake, Rihanna",Take Care (Deluxe)
Money On My Mind,Sam Smith,Nirvana
Alright,"Logic, Big Sean",Under Pressure (Deluxe)
Losin Control,Russ,Losin Control
Let Go,"Chris Watts, N/A",Let Go
My Type,Saint Motel,My Type EP
Maybe IDK,Jon Bellion,The Human Condition
Super Rich Kids,"Frank Ocean, Earl Sweatshirt",channel ORANGE
Paper Planes - Diplo Street Remix,"M.I.A., Bun B, Rich Boy",Paper Planes (Homeland Security Remixes)
Waves,Kanye West,The Life Of Pablo
Work,"Rihanna, Drake",ANTI
Time of Our Lives,"Pitbull, Ne-Yo",Globalization
Do It Myself,Russ,Do It Myself
Don't Mind,Kent Jones,Don't Mind
G.O.M.D.,J. Cole,2014 Forest Hills Drive
Everybody Talks,Neon Trees,Picture Show (Deluxe Edition)
Harder Better Faster Stronger,Daft Punk,Discovery
You & Me,"Marc E. Bassy, G-Eazy",Groovy People
Can I Kick It? - J. Cole Remix,A Tribe Called Quest,People's Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition)
Through The Wire,Kanye West,The College Dropout (Explicit)
"Young, Wild & Free (feat. Bruno Mars)","Snoop Dogg, Wiz Khalifa, Bruno Mars","Young, Wild & Free (feat. Bruno Mars)"
24k of Gold,Detroit Shaun,Heart of a Lion
Wake Me Up,Avicii,TRUE
POWER,Kanye West,My Beautiful Dark Twisted Fantasy
Weekend,"Louis The Child, Icona Pop",Weekend
Cake By The Ocean,DNCE,SWAAY
Play No Games,"Big Sean, Ty Dolla $ign, Chris Brown",Dark Sky Paradise
Figure it Out,"French Montana, Kanye West, Nas",Figure it Out
Heaven,Alex Adair,Heaven
